,Name,Url,Stargazer_Count,Total Releases,Age
110,mockito/mockito,https://github.com/mockito/mockito,12711,185,9
111,arduino/Arduino,https://github.com/arduino/Arduino,12663,37,11
112,baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,12569,22,5
113,greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,12509,8,10
114,openjdk/jdk,https://github.com/openjdk/jdk,12507,0,3
115,facebook/stetho,https://github.com/facebook/stetho,12460,13,7
116,apache/hadoop,https://github.com/apache/hadoop,12415,0,7
117,eclipse/deeplearning4j,https://github.com/eclipse/deeplearning4j,12386,0,8
118,JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,12228,14,3
119,williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,12227,0,5
120,zhihu/Matisse,https://github.com/zhihu/Matisse,12222,15,4
121,daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,12186,18,7
122,pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,12063,50,7
123,daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,12054,9,7
124,zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,11867,0,3
125,youth5201314/banner,https://github.com/youth5201314/banner,11829,0,5
126,Netflix/zuul,https://github.com/Netflix/zuul,11792,5,9
127,antlr/antlr4,https://github.com/antlr/antlr4,11766,23,12
128,keycloak/keycloak,https://github.com/keycloak/keycloak,11703,17,8
129,apache/druid,https://github.com/apache/druid,11621,48,9
130,termux/termux-app,https://github.com/termux/termux-app,11619,89,6
131,GoogleContainerTools/jib,https://github.com/GoogleContainerTools/jib,11606,133,4
132,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,11564,45,3
133,seaswalker/spring-analysis,https://github.com/seaswalker/spring-analysis,11500,0,5
134,Tencent/VasSonic,https://github.com/Tencent/VasSonic,11473,10,4
135,sqshq/piggymetrics,https://github.com/sqshq/piggymetrics,11420,2,6
136,heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,11396,0,3
137,LuckSiege/PictureSelector,https://github.com/LuckSiege/PictureSelector,11307,103,5
138,ben-manes/caffeine,https://github.com/ben-manes/caffeine,11294,59,7
139,realm/realm-java,https://github.com/realm/realm-java,11263,0,9
